tunisianet_scrapy_persist.reference_global,tunisianet_scrapy_persist.reference_detail,tunisianet_scrapy_persist.ad_title,tunisianet_scrapy_persist.ad_url,tunisianet_scrapy_persist.marque,tunisianet_scrapy_persist.modele,tunisianet_scrapy_persist.ram,tunisianet_scrapy_persist.stockage,tunisianet_scrapy_persist.couleur,tunisianet_scrapy_persist.options,tunisianet_scrapy_persist.shop,tunisianet_scrapy_persist.ad_stocks,tunisianet_scrapy_persist.ad_price,tunisianet_scrapy_persist.date_scrapy
realme-c30s,realme-c30s-3go-64gb-black,Smartphone Realme C30S / 3 Go / 64 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/64607-smartphone-realme-c30s-3-go-64-go-noir.html,realme,c30s,3go,64gb,black,,tunisianet,INSTOCK,339.0,28/01/2024
samsung-galaxya24,samsung-galaxya24-6go-128gb-black,Smartphone Samsung Galaxy A24 / 6 Go / 128 Go / Noir + Adaptateur Samsung 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/64504-smartphone-samsung-galaxy-a24-6-go-128-go-noir.html,samsung,galaxy a24,6go,128gb,black,adaptateur samsung 25w offert,tunisianet,INSTOCK,899.0,28/01/2024
samsung-galaxya14,samsung-galaxya14-4go-64gb-silver,Smartphone Samsung Galaxy A14 / 4 Go / 64 Go / Silver + Adaptateur Samsung Charge Rapide 25W  Offert,https://www.tunisianet.com.tn/smartphone-tunisie/62985-smartphone-samsung-galaxy-a14-4-go-64-go-silver.html,samsung,galaxy a14,4go,64gb,silver,adaptateur samsung charge rapide 25w offert,tunisianet,INSTOCK,599.0,28/01/2024
samsung-galaxys23fe5g,samsung-galaxys23fe5g-8go-256gb-violet,Smartphone Samsung Galaxy S23 FE / 5G / 8 Go / 256 Go / Violet + Adaptateur Samsung Charge Rapide 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/70362-smartphone-samsung-galaxy-s23-fe-5g-8-go-256-go-violet.html,samsung,galaxy s23 fe 5g,8go,256gb,violet,adaptateur samsung charge rapide 25w offert,tunisianet,INSTOCK,1949.0,28/01/2024
apple-iphone14plus5g,apple-iphone14plus5g-128gb-midnight,Smartphone Apple iPhone 14 Plus / 5G / 128 Go / Midnight + Apple EarPods avec connecteur Lightning Offerts,https://www.tunisianet.com.tn/smartphone-tunisie/61707-smartphone-apple-iphone-14-plus-5g-128-go-midnight.html,apple,iphone 14 plus 5g,,128gb,midnight,apple earpods avec connecteur lightning offerts,tunisianet,ONDEMAND,3999.0,28/01/2024
samsung-galaxya54,samsung-galaxya54-8go-128gb-green,Smartphone Samsung Galaxy A54 / 8 Go / 128 Go / Vert + Adaptateur Samsung 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/64501-smartphone-samsung-galaxy-a54-8-go-128-go-vert.html,samsung,galaxy a54,8go,128gb,green,adaptateur samsung 25w offert,tunisianet,INSTOCK,1799.0,28/01/2024
samsung-galaxyzfold4,samsung-galaxyzfold4-12go-256gb-blue,Smartphone Samsung Galaxy Z Fold4 / 12 Go / 256 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/58969-smartphone-samsung-galaxy-z-fold4-12-go-256-go-bleu.html,samsung,galaxy z fold4,12go,256gb,blue,,tunisianet,ONDEMAND,5889.0,28/01/2024
itel-a70,itel-a70-4go-256gb-black,Smartphone Itel A70 / 4 Go / 256 GO / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/70956-smartphone-itel-a70-4-go-256-go-noir.html,itel,a70,4go,256gb,black,,tunisianet,INSTOCK,349.0,28/01/2024
samsung-galaxys24plus5g,samsung-galaxys24plus5g-12go-256gb-gold,Smartphone Samsung Galaxy S24 Plus / 5G / 12 Go / 256 Go / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/72315-smartphone-samsung-galaxy-s24-plus-5g-12-go-256-go-gold.html,samsung,galaxy s24 plus 5g,12go,256gb,gold,,tunisianet,ONDEMAND,4099.0,28/01/2024
apple-iphone145g,apple-iphone145g-128gb-midnight,Smartphone Apple iPhone 14 / 5G / 128 Go / Midnight + Apple EarPods avec connecteur Lightning Offerts,https://www.tunisianet.com.tn/smartphone-tunisie/61706-smartphone-apple-iphone-14-5g-128-go-midnight.html,apple,iphone 14 5g,,128gb,midnight,apple earpods avec connecteur lightning offerts,tunisianet,ONDEMAND,3749.0,28/01/2024
nokia-c12emeedition3g,nokia-c12emeedition3g-1go-16gb-blue,Smartphone Nokia C1 2ème Edition / 3G / 1 Go / 16 Go / Double SIM / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/53222-smartphone-nokia-c1-2eme-edition-3g-1-go-16-go-double-sim-bleu.html,nokia,c1 2eme edition 3g,1go,16gb,blue,double sim,tunisianet,INSTOCK,149.0,28/01/2024
samsung-galaxya24,samsung-galaxya24-6go-128gb-silver,Smartphone Samsung Galaxy A24 / 6 Go / 128 Go / Silver + Adaptateur Samsung 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/64503-smartphone-samsung-galaxy-a24-6-go-128-go-silver.html,samsung,galaxy a24,6go,128gb,silver,adaptateur samsung 25w offert,tunisianet,INSTOCK,899.0,28/01/2024
oppo-a784g,oppo-a784g-8go-256gb-black,Smartphone Oppo A78 / 4G / 8 Go / 256 Go / Noir + Un Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/67956-oppo-a78-prix-tunisie.html,oppo,a78 4g,8go,256gb,black,un abonnement ott pro 12 mois offert,tunisianet,INSTOCK,899.0,28/01/2024
iku-a223g,iku-a223g-2go-32gb-green,Smartphone IKU A22 / 3G / 2 Go / 32 Go / Double SIM / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/53905-smartphone-iku-a22-3g-2-go-32-go-double-sim-vert-.html,iku,a22 3g,2go,32gb,green,double sim,tunisianet,INSTOCK,196.0,28/01/2024
huawei-novay904g,huawei-novay904g-6go-128gb-blue,Smartphone Huawei nova Y90 / 4G / 6 Go / 128 Go / Double SIM / Bleu + Abonnement IPTV 12mois,https://www.tunisianet.com.tn/smartphone-tunisie/59684-smartphone-huawei-nova-y90-4g-6-go-128-go-double-sim-bleu-abonnement-iptv-12mois.html,huawei,nova y90 4g,6go,128gb,blue,double sim  abonnement iptv 12mois,tunisianet,INSTOCK,729.0,28/01/2024
apple-iphone155g,apple-iphone155g-6go-128gb-blue,Smartphone Apple iPhone 15 / 5G / 6 Go / 128 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/71914-smartphone-apple-iphone-15-5g-6-go-128-go-bleu.html,apple,iphone 15 5g,6go,128gb,blue,,tunisianet,ONDEMAND,4299.0,28/01/2024
xiaomi-redmi124g,xiaomi-redmi124g-4go-128gb-blue,Smartphone Xiaomi Redmi 12 / 4G / 4 Go / 128 Go / Bleu + Abonnement OTT Pro 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/66387-smartphone-xiaomi-redmi-12-4g-4-go-128-go-bleu.html,xiaomi,redmi 12 4g,4go,128gb,blue,abonnement ott pro 12 mois offert,tunisianet,INSTOCK,535.0,28/01/2024
tcl-4034g,tcl-4034g-2go-32gb-mauve,Smartphone TCL 403 / 4G  / 2 Go / 32 Go / Mauve,https://www.tunisianet.com.tn/smartphone-tunisie/64042-smartphone-tcl-403-4g-2-go-32-go-mauve.html,tcl,403 4g,2go,32gb,mauve,,tunisianet,INSTOCK,297.0,28/01/2024
