tunisianet_scrapy_persist.reference_global,tunisianet_scrapy_persist.reference_detail,tunisianet_scrapy_persist.ad_title,tunisianet_scrapy_persist.ad_url,tunisianet_scrapy_persist.marque,tunisianet_scrapy_persist.modele,tunisianet_scrapy_persist.ram,tunisianet_scrapy_persist.stockage,tunisianet_scrapy_persist.couleur,tunisianet_scrapy_persist.options,tunisianet_scrapy_persist.shop,tunisianet_scrapy_persist.ad_stocks,tunisianet_scrapy_persist.ad_price,tunisianet_scrapy_persist.date_scrapy
tecno-sparkgo2023,tecno-sparkgo2023-4go-64gb-black,Smartphone Tecno Spark Go 2023 / 4 Go / 64 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/63527-smartphone-tecno-spark-go-2023-4-go-64-go-noir.html,tecno,spark go 2023,4go,64gb,black,,tunisianet,INSTOCK,339.0,05/11/2023
itel-p40,itel-p40-4go-128gb-black,Smartphone Itel P40 / 4 Go / 128 GO / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/67466-smartphone-itel-p40-4-go-128-go-noir.html,itel,p40,4go,128gb,black,,tunisianet,INSTOCK,339.0,05/11/2023
itel-p40,itel-p40-4go-128gb-blue,Smartphone Itel P40 / 4 Go / 128 GO / Blue,https://www.tunisianet.com.tn/smartphone-tunisie/67467-smartphone-itel-p40-4-go-128-go-blue.html,itel,p40,4go,128gb,blue,,tunisianet,INSTOCK,339.0,05/11/2023
lenovo-k144g,lenovo-k144g-2go-32gb-blue,Smartphone Lenovo K14 / 4G / Double SIM / 2 Go / 32 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/56745-smartphone-lenovo-k14-4g-double-sim-2-go-32-go-bleu.html,lenovo,k14 4g,2go,32gb,blue,double sim,tunisianet,INSTOCK,339.0,05/11/2023
lenovo-k134g,lenovo-k134g-2go-32gb-blue,Smartphone Lenovo K13 / 4G / Double SIM / 2 Go / 32 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/56742-smartphone-lenovo-k13-4g-double-sim-2-go-32-go-bleu.html,lenovo,k13 4g,2go,32gb,blue,double sim,tunisianet,INSTOCK,339.0,05/11/2023
iku-x5,iku-x5-3go-32gb-blue,SMARTPHONE IKU X5 / 3Go /32Go / BLEU,https://www.tunisianet.com.tn/smartphone-tunisie/63898-smartphone-iku-x5-3go-32go-bleu.html,iku,x5,3go,32gb,blue,,tunisianet,INSTOCK,349.0,05/11/2023
iku-x5,iku-x5-3go-32gb-green,Smartphone IKU X5 / 3Go /32Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/63899-smartphone-iku-x5-3go-32go-vert.html,iku,x5,3go,32gb,green,,tunisianet,INSTOCK,349.0,05/11/2023
vivo-y02,vivo-y02-2go-32gb-grey,Smartphone Vivo Y02 / 2 Go / 32 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/61748-smartphone-vivo-y02-2-go-32-go-gris.html,vivo,y02,2go,32gb,grey,,tunisianet,INSTOCK,349.0,05/11/2023
infinix-smart7,infinix-smart7-4go-64gb-green,Smartphone INFINIX Smart 7 / 4 Go / 64 G / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/62940-smartphone-infinix-smart-7-4-go-64-g-vert.html,infinix,smart 7,4go,64gb,green,,tunisianet,INSTOCK,355.0,05/11/2023
infinix-smart7,infinix-smart7-4go-64gb-black,Smartphone INFINIX Smart 7 / 4 Go / 64 G / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/62596-smartphone-infinix-smart-7-4-go-64-g-noir.html,infinix,smart 7,4go,64gb,black,,tunisianet,INSTOCK,355.0,05/11/2023
infinix-smart7,infinix-smart7-4go-64gb-white,Smartphone INFINIX Smart 7 / 4 Go / 64 G / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/62595-smartphone-infinix-smart-7-4-go-64-g-blanc-.html,infinix,smart 7,4go,64gb,white,,tunisianet,INSTOCK,359.0,05/11/2023
samsung-galaxya04e,samsung-galaxya04e-3go-64gb-rosegold,Smartphone SAMSUNG GALAXY A04E / 3 GO / 64 GO / Rose Gold,https://www.tunisianet.com.tn/smartphone-tunisie/62427-smartphone-samsung-galaxy-a04e-3-go-64-go-rose-gold.html,samsung,galaxy a04e,3go,64gb,rose gold,,tunisianet,INSTOCK,359.0,05/11/2023
infinix-smart7,infinix-smart7-4go-64gb-blue,Smartphone INFINIX Smart 7 / 4 Go / 64 G / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/62594-smartphone-infinix-smart-7-4-go-64-g-bleu-.html,infinix,smart 7,4go,64gb,blue,,tunisianet,INSTOCK,359.0,05/11/2023
vivo-y02,vivo-y02-3go-32gb-grey,Smartphone Vivo Y02 / 3 Go / 32 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/67227-smartphone-vivo-y02-2-go-32-go-gris.html,vivo,y02,3go,32gb,grey,,tunisianet,INSTOCK,359.0,05/11/2023
samsung-galaxya04e,samsung-galaxya04e-3go-64gb-black,Smartphone SAMSUNG GALAXY A04E / 3 GO / 64 GO / NOIR,https://www.tunisianet.com.tn/smartphone-tunisie/62426-smartphone-samsung-galaxy-a04e-3-go-64-go-noir.html,samsung,galaxy a04e,3go,64gb,black,,tunisianet,INSTOCK,359.0,05/11/2023
samsung-galaxya04e,samsung-galaxya04e-3go-64gb-blue,Smartphone SAMSUNG GALAXY A04E / 3 GO / 64 GO / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/62428-smartphone-samsung-galaxy-a04e-3-go-64-go-bleu.html,samsung,galaxy a04e,3go,64gb,blue,,tunisianet,INSTOCK,359.0,05/11/2023
iku-a12,iku-a12-4go-64gb-green,SMARTPHONE IKU A12 /4Go /64Go /Vert,https://www.tunisianet.com.tn/smartphone-tunisie/60640-smartphone-iku-a12-4go-64go-vert.html,iku,a12,4go,64gb,green,,tunisianet,INSTOCK,389.0,05/11/2023
iku-a12,iku-a12-4go-64gb-grey,SMARTPHONE IKU A12 /4Go /64Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/60639-smartphone-iku-a12-4go-64go-gris.html,iku,a12,4go,64gb,grey,,tunisianet,INSTOCK,389.0,05/11/2023
samsung-galaxya04,samsung-galaxya04-3go-32gb-white,Smartphone Samsung Galaxy A04 / 3 Go / 32 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/60920-smartphone-samsung-galaxy-a04-3-go-32-go-blanc.html,samsung,galaxy a04,3go,32gb,white,,tunisianet,INSTOCK,389.0,05/11/2023
samsung-galaxya04,samsung-galaxya04-3go-32gb-rosegold,Smartphone Samsung Galaxy A04 / 3 Go / 32 Go / Rose Gold,https://www.tunisianet.com.tn/smartphone-tunisie/60918-smartphone-samsung-galaxy-a04-3-go-32-go-rose-gold.html,samsung,galaxy a04,3go,32gb,rose gold,,tunisianet,INSTOCK,389.0,05/11/2023
samsung-galaxya04,samsung-galaxya04-3go-32gb-black,Smartphone Samsung Galaxy A04 / 3 Go / 32 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/60917-smartphone-samsung-galaxy-a04-3-go-32-go-noir.html,samsung,galaxy a04,3go,32gb,black,,tunisianet,INSTOCK,389.0,05/11/2023
tecno-spark10c,tecno-spark10c-4go-128gb-black,Smartphone Tecno Spark 10C / 4 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/65876-smartphone-tecno-spark-10c-4-go-128-go-noir.html,tecno,spark 10c,4go,128gb,black,,tunisianet,INSTOCK,389.0,05/11/2023
tecno-spark10c,tecno-spark10c-4go-128gb-blue,Smartphone Tecno Spark 10C / 4 Go / 128 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/65879-smartphone-tecno-spark-10c-4-go-128-go-bleu.html,tecno,spark 10c,4go,128gb,blue,,tunisianet,INSTOCK,399.0,05/11/2023
itel-s23,itel-s23-8go-128gb-black,Smartphone Itel S23 / 8 Go / 128 GO / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/65752-smartphone-itel-s23-8-go-128-go-noir.html,itel,s23,8go,128gb,black,,tunisianet,INSTOCK,399.0,05/11/2023
vivo-y02t,vivo-y02t-4go-64gb-grey,Smartphone Vivo Y02T / 4 Go / 64 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/66478-smartphone-vivo-y02t-4-go-64-go-gris.html,vivo,y02t,4go,64gb,grey,,tunisianet,INSTOCK,399.0,05/11/2023
itel-s23,itel-s23-8go-128gb-white,Smartphone Itel S23 / 8 Go / 128 GO / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/65753-smartphone-itel-s23-8-go-128-go-blanc.html,itel,s23,8go,128gb,white,,tunisianet,INSTOCK,399.0,05/11/2023
vivo-y02s,vivo-y02s-3go-32gb-blue,Smartphone Vivo Y02S / 3 Go / 32 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/59932-smartphone-vivo-y02s-3-go-32-go-bleu.html,vivo,y02s,3go,32gb,blue,,tunisianet,INSTOCK,399.0,05/11/2023
vivo-y02s,vivo-y02s-3go-32gb-black,Smartphone Vivo Y02S / 3 Go / 32 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/59931-smartphone-vivo-y02s-3-go-32-go-noir.html,vivo,y02s,3go,32gb,black,,tunisianet,INSTOCK,399.0,05/11/2023
vivo-y02t,vivo-y02t-4go-64gb-blue,Smartphone Vivo Y02T / 4 Go / 64 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/66480-smartphone-vivo-y02t-4-go-64-go-bleu.html,vivo,y02t,4go,64gb,blue,,tunisianet,INSTOCK,419.0,05/11/2023
infinix-hot30i,infinix-hot30i-4go-128gb-gold,Smartphone INFINIX Hot 30i / 4 Go / 128 G / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/67284-smartphone-infinix-hot-30i-4-go-128-g-gold.html,infinix,hot 30i,4go,128gb,gold,,tunisianet,INSTOCK,419.0,05/11/2023
infinix-hot30i,infinix-hot30i-4go-128gb-blue,Smartphone INFINIX Hot 30i / 4 Go / 128 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/66744-smartphone-infinix-hot-30i-4-go-128-go-bleu.html,infinix,hot 30i,4go,128gb,blue,,tunisianet,INSTOCK,419.0,05/11/2023
infinix-hot30i,infinix-hot30i-4go-128gb-white,Smartphone INFINIX Hot 30i / 4 Go / 128 G / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/66748-smartphone-infinix-hot-30i-4-go-128-g-blanc.html,infinix,hot 30i,4go,128gb,white,,tunisianet,INSTOCK,419.0,05/11/2023
infinix-hot30i,infinix-hot30i-4go-128gb-black,Smartphone INFINIX Hot 30i / 4 Go / 128 G / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/66747-smartphone-infinix-hot-30i-4-go-128-g-noir.html,infinix,hot 30i,4go,128gb,black,,tunisianet,INSTOCK,429.0,05/11/2023
samsung-galaxya04,samsung-galaxya04-4go-64gb-white,Smartphone Samsung Galaxy A04 / 4 Go / 64 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/60923-smartphone-samsung-galaxy-a04-4-go-64-go-blanc.html,samsung,galaxy a04,4go,64gb,white,,tunisianet,INSTOCK,429.0,05/11/2023
samsung-galaxya04,samsung-galaxya04-4go-64gb-rosegold,Smartphone Samsung Galaxy A04 / 4 Go / 64 Go / Rose Gold,https://www.tunisianet.com.tn/smartphone-tunisie/60922-smartphone-samsung-galaxy-a04-4-go-64-go-rose-gold.html,samsung,galaxy a04,4go,64gb,rose gold,,tunisianet,INSTOCK,429.0,05/11/2023
tecno-spark8,tecno-spark8-4go-64gb-atlanticblue,Smartphone Tecno Spark 8 / 4 Go / 64 Go / Bleu Atlantique,https://www.tunisianet.com.tn/smartphone-tunisie/53884-smartphone-tecno-spark-8-4-go-64-go-bleu-atlantique.html,tecno,spark 8,4go,64gb,atlantic blue,,tunisianet,INSTOCK,429.0,05/11/2023
tecno-spark8,tecno-spark8-4go-64gb-turquoiseblue,Smartphone Tecno Spark 8 / 4 Go / 64 Go / Bleu Turquoise,https://www.tunisianet.com.tn/smartphone-tunisie/58436-smartphone-tecno-spark-8-4-go-64-go-bleu-turquoise-.html,tecno,spark 8,4go,64gb,turquoise blue,,tunisianet,INSTOCK,429.0,05/11/2023
xiaomi-redmi12c4g,xiaomi-redmi12c4g-4go-128gb-grey,Smartphone Xiaomi Redmi 12C / 4G / 4 Go / 128 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/62908-smartphone-xiaomi-redmi-12c-4g-4-go-128-go-gris.html,xiaomi,redmi 12c 4g,4go,128gb,grey,,tunisianet,ONDEMAND,474.0,05/11/2023
itel-s23,itel-s23-8go-256gb-white,Smartphone Itel S23 / 8 Go / 256 GO / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/68899-smartphone-itel-s23-8-go-256-go-blanc.html,itel,s23,8go,256gb,white,,tunisianet,INSTOCK,479.0,05/11/2023
xiaomi-redmi10a4g,xiaomi-redmi10a4g-3go-64gb-grey,Smartphone Xiaomi Redmi 10A / 4G / 3 Go / 64 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/60919-smartphone-xiaomi-redmi-10a-4g-3-go-64-go-gris.html,xiaomi,redmi 10a 4g,3go,64gb,grey,,tunisianet,INSTOCK,479.0,05/11/2023
realme-c21y4g,realme-c21y4g-4go-64gb-black,Smartphone Realme C21Y / 4G / 4 Go / 64 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/54017-smartphone-realme-c21y-4g-4-go-64-go-noir.html,realme,c21y 4g,4go,64gb,black,,tunisianet,INSTOCK,479.0,05/11/2023
xiaomi-redmi10a4g,xiaomi-redmi10a4g-3go-64gb-blue,SMARTPHONE XIAOMI REDMI 10A / 4G / 3 Go / 64 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/60367-smartphone-xiaomi-redmi-10a-4g-3-go-64-go-bleu.html,xiaomi,redmi 10a 4g,3go,64gb,blue,,tunisianet,INSTOCK,489.0,05/11/2023
xiaomi-redmi10a4g,xiaomi-redmi10a4g-3go-64gb-silver,Smartphone Xiaomi Redmi 10A / 4G / 3 Go / 64 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/60366-smartphone-xiaomi-redmi-10a-4g-3-go-64-go-silver.html,xiaomi,redmi 10a 4g,3go,64gb,silver,,tunisianet,INSTOCK,489.0,05/11/2023
infinix-hot30i,infinix-hot30i-8go-128gb-gold,Smartphone INFINIX Hot 30i / 8 Go / 128 Go / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/65924-smartphone-infinix-hot-30i-8-go-128-go-gold.html,infinix,hot 30i,8go,128gb,gold,,tunisianet,INSTOCK,489.0,05/11/2023
samsung-galaxya04,samsung-galaxya04-4go-128gb-white,Smartphone Samsung Galaxy A04 / 4 Go / 128 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/66434-smartphone-samsung-galaxy-a04-4-go-128-go-blanc.html,samsung,galaxy a04,4go,128gb,white,,tunisianet,INSTOCK,489.0,05/11/2023
infinix-hot30i,infinix-hot30i-8go-128gb-blue,Smartphone INFINIX Hot 30i / 8 Go / 128 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/65157-smartphone-infinix-hot-30i-8-go-128-go-bleu.html,infinix,hot 30i,8go,128gb,blue,,tunisianet,INSTOCK,489.0,05/11/2023
infinix-hot30i,infinix-hot30i-8go-128gb-black,Smartphone INFINIX Hot 30i / 8 Go / 128 G / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/65155-smartphone-infinix-hot-30i-8-go-128-g-noir.html,infinix,hot 30i,8go,128gb,black,,tunisianet,INSTOCK,489.0,05/11/2023
infinix-hot30i,infinix-hot30i-8go-128gb-white,Smartphone INFINIX Hot 30i / 8 Go / 128 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/65154-smartphone-infinix-hot-30i-8-go-128-go-blanc.html,infinix,hot 30i,8go,128gb,white,,tunisianet,INSTOCK,489.0,05/11/2023
samsung-galaxya04,samsung-galaxya04-4go-128gb-rosegold,Smartphone Samsung Galaxy A04 / 4 Go / 128 Go / Rose Gold,https://www.tunisianet.com.tn/smartphone-tunisie/66437-smartphone-samsung-galaxy-a04-4-go-128-go-rose-gold.html,samsung,galaxy a04,4go,128gb,rose gold,,tunisianet,INSTOCK,489.0,05/11/2023
samsung-galaxya04,samsung-galaxya04-4go-128gb-black,Smartphone Samsung Galaxy A04 / 4 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/66436-smartphone-samsung-galaxy-a04-4-go-128-go-noir.html,samsung,galaxy a04,4go,128gb,black,,tunisianet,INSTOCK,499.0,05/11/2023
xiaomi-redmi12c4g,xiaomi-redmi12c4g-6go-128gb-grey,Smartphone Xiaomi Redmi 12C / 4G / 6 Go / 128 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/66674-smartphone-xiaomi-redmi-12c-4g-6-go-128-go-gris.html,xiaomi,redmi 12c 4g,6go,128gb,grey,,tunisianet,INSTOCK,499.0,05/11/2023
vivo-y17s,vivo-y17s-6go-128gb-purple,Smartphone Vivo Y17S / 6 Go / 128 Go / Purple,https://www.tunisianet.com.tn/smartphone-tunisie/69085-smartphone-vivo-y17s-6-go-128-go-purple.html,vivo,y17s,6go,128gb,purple,,tunisianet,INSTOCK,499.0,05/11/2023
vivo-y17s,vivo-y17s-6go-128gb-green,Smartphone Vivo Y17S / 6 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/69087-smartphone-vivo-y17s-6-go-128-go-vert.html,vivo,y17s,6go,128gb,green,,tunisianet,INSTOCK,499.0,05/11/2023
realme-c33,realme-c33-4go-128gb-black,Smartphone Realme C33 / 4 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/65794-smartphone-realme-c33-4-go-128-go-noir.html,realme,c33,4go,128gb,black,,tunisianet,INSTOCK,499.0,05/11/2023
realme-c33,realme-c33-4go-128gb-gold,Smartphone Realme C33 / 4 Go / 128 Go / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/65792-smartphone-realme-c33-4-go-128-go-gold.html,realme,c33,4go,128gb,gold,,tunisianet,INSTOCK,499.0,05/11/2023
realme-c51,realme-c51-4go-128gb-green,Smartphone Realme C51 / 4 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/69530-smartphone-realme-c51-4-go-128-go-vert.html,realme,c51,4go,128gb,green,,tunisianet,INSTOCK,499.0,05/11/2023
realme-c51,realme-c51-4go-128gb-black,Smartphone Realme C51 / 4 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/69531-smartphone-realme-c51-4-go-128-go-noir.html,realme,c51,4go,128gb,black,,tunisianet,INSTOCK,499.0,05/11/2023
realme-c25y4g,realme-c25y4g-4go-64gb-grey,Smartphone Realme C25Y/ 4G / 4 Go / 64 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/59033-smartphone-realme-c25y-4g-4-go-64-go-gris.html,realme,c25y 4g,4go,64gb,grey,,tunisianet,INSTOCK,539.0,05/11/2023
vivo-y16,vivo-y16-4go-64gb-gold,Smartphone Vivo Y16 / 4 Go / 64 Go / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/61749-smartphone-vivo-y16-4-go-64-go-gold.html,vivo,y16,4go,64gb,gold,,tunisianet,INSTOCK,539.0,05/11/2023
realme-c25y4g,realme-c25y4g-4go-64gb-blue,Smartphone Realme C25Y/ 4G / 4 Go / 64 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/54425-smartphone-realme-c25y-4g-4-go-64-go-bleu.html,realme,c25y 4g,4go,64gb,blue,,tunisianet,INSTOCK,539.0,05/11/2023
infinix-hot20,infinix-hot20-4go-128gb-white,SMARTPHONE INFINIX HOT20 / 4Go / 128 G / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/61073-smartphone-infinix-hot20-4go-128-g-blanc.html,infinix,hot20,4go,128gb,white,,tunisianet,INSTOCK,574.0,05/11/2023
vivo-y22,vivo-y22-4go-64gb-blue,SMARTPHONE VIVO Y22 4 Go / 64 G / BLEU,https://www.tunisianet.com.tn/smartphone-tunisie/60520-smartphone-vivo-y22-4-go-64-g-bleu.html,vivo,y22,4go,64gb,blue,,tunisianet,INSTOCK,574.0,05/11/2023
vivo-y22,vivo-y22-4go-64gb-green,SMARTPHONE VIVO Y22 4 Go / 64 G / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/60521-smartphone-vivo-y22-4-go-64-g-vert.html,vivo,y22,4go,64gb,green,,tunisianet,INSTOCK,574.0,05/11/2023
realme-c25y4g,realme-c25y4g-4go-128gb-grey,Smartphone Realme C25Y/ 4G / 4 Go / 128 Go / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/53977-smartphone-realme-c25y-4g-4-go-128-go-gris.html,realme,c25y 4g,4go,128gb,grey,,tunisianet,INSTOCK,579.0,05/11/2023
realme-c25y4g,realme-c25y4g-4go-128gb-blue,Smartphone Realme C25Y/ 4G / 4 Go / 128 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/53978-smartphone-realme-c25y-4g-4-go-128-go-bleu.html,realme,c25y 4g,4go,128gb,blue,,tunisianet,INSTOCK,579.0,05/11/2023
realme-c53,realme-c53-6go-128gb-gold,Smartphone Realme C53 / 6 Go / 128 Go / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/69529-smartphone-realme-c53-6-go-128-go-gold.html,realme,c53,6go,128gb,gold,,tunisianet,INSTOCK,579.0,05/11/2023
realme-c53,realme-c53-6go-128gb-black,Smartphone Realme C53 / 6 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/69528-smartphone-realme-c53-6-go-128-go-noir.html,realme,c53,6go,128gb,black,,tunisianet,INSTOCK,579.0,05/11/2023
infinix-hot20,infinix-hot20-6go-128gb-black,Smartphone INFINIX HOT20 / 6Go / 128 G / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/61969-smartphone-infinix-hot20-6go-128-g-noir.html,infinix,hot20,6go,128gb,black,,tunisianet,INSTOCK,599.0,05/11/2023
infinix-hot20,infinix-hot20-6go-128gb-white,Smartphone INFINIX HOT20 / 6 Go / 128 G / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/62481-smartphone-infinix-hot20-6-go-128-g-blanc.html,infinix,hot20,6go,128gb,white,,tunisianet,INSTOCK,609.0,05/11/2023
infinix-hot20,infinix-hot20-6go-128gb-blue,Smartphone INFINIX HOT20 / 6 Go / 128 G / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/61964-smartphone-infinix-hot20-6-go-128-g-bleu.html,infinix,hot20,6go,128gb,blue,,tunisianet,INSTOCK,609.0,05/11/2023
infinix-hot30x6831,infinix-hot30x6831-8go-128gb-green,Smartphone INFINIX Hot 30 X6831 / 8 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/65149-smartphone-infinix-hot-30-x6831-8-go-128-go-vert.html,infinix,hot 30 x6831,8go,128gb,green,,tunisianet,INSTOCK,609.0,05/11/2023
infinix-hot30x6831,infinix-hot30x6831-8go-128gb-black,Smartphone INFINIX Hot 30 X6831 / 8 Go / 128 G / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/65152-smartphone-infinix-hot-30-x6831-8-go-128-g-noir.html,infinix,hot 30 x6831,8go,128gb,black,,tunisianet,INSTOCK,609.0,05/11/2023
infinix-hot30x6831,infinix-hot30x6831-8go-128gb-white,Smartphone INFINIX Hot 30 X6831 / 8 Go / 128 Go / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/65153-smartphone-infinix-hot-30-x6831-8-go-128-go-blanc.html,infinix,hot 30 x6831,8go,128gb,white,,tunisianet,INSTOCK,609.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-64gb-green,Smartphone Samsung Galaxy A14 / 4 Go / 64 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/62987-smartphone-samsung-galaxy-a14-4-go-64-go-vert.html,samsung,galaxy a14,4go,64gb,green,,tunisianet,INSTOCK,629.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-64gb-silver,Smartphone Samsung Galaxy A14 / 4 Go / 64 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/62985-smartphone-samsung-galaxy-a14-4-go-64-go-silver.html,samsung,galaxy a14,4go,64gb,silver,,tunisianet,INSTOCK,629.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-64gb-black,Smartphone Samsung Galaxy A14 / 4 Go / 64 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/62986-smartphone-samsung-galaxy-a14-4-go-64-go-noir.html,samsung,galaxy a14,4go,64gb,black,,tunisianet,INSTOCK,629.0,05/11/2023
xiaomi-redmi124g,xiaomi-redmi124g-8go-256gb-blue,Smartphone Xiaomi Redmi 12 / 4G / 8 Go / 256 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/67465-smartphone-xiaomi-redmi-12-4g-8-go-256-go-bleu.html,xiaomi,redmi 12 4g,8go,256gb,blue,,tunisianet,INSTOCK,634.0,05/11/2023
xiaomi-redmi124g,xiaomi-redmi124g-8go-256gb-silver,Smartphone Xiaomi Redmi 12 / 4G / 8 Go / 256 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/67463-smartphone-xiaomi-redmi-12-4g-8-go-128-go-silver.html,xiaomi,redmi 12 4g,8go,256gb,silver,,tunisianet,INSTOCK,634.0,05/11/2023
xiaomi-redmi124g,xiaomi-redmi124g-8go-256gb-black,Smartphone Xiaomi Redmi 12 / 4G / 8 Go / 256 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/67464-smartphone-xiaomi-redmi-12-4g-8-go-256-go-noir.html,xiaomi,redmi 12 4g,8go,256gb,black,,tunisianet,INSTOCK,634.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-128gb-green,Smartphone Samsung Galaxy A14 / 4 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/62990-smartphone-samsung-galaxy-a14-4-go-128-go-vert.html,samsung,galaxy a14,4go,128gb,green,,tunisianet,INSTOCK,639.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-128gb-black,Smartphone Samsung Galaxy A14 / 4 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/62989-smartphone-samsung-galaxy-a14-4-go-128-go-noir.html,samsung,galaxy a14,4go,128gb,black,,tunisianet,INSTOCK,639.0,05/11/2023
samsung-galaxya14,samsung-galaxya14-4go-128gb-silver,Smartphone Samsung Galaxy A14 / 4 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/62988-smartphone-samsung-galaxy-a14-4-go-128-go-silver.html,samsung,galaxy a14,4go,128gb,silver,,tunisianet,INSTOCK,639.0,05/11/2023
xiaomi-redminote12,xiaomi-redminote12-4go-128gb-grey,SMARTPHONE XIAOMI Redmi Note 12 / 4 GO / 128 GO / Gris,https://www.tunisianet.com.tn/smartphone-tunisie/63889-smartphone-xiaomi-redmi-note-12-4-go-128-go-gris.html,xiaomi,redmi note 12,4go,128gb,grey,,tunisianet,INSTOCK,724.0,05/11/2023
xiaomi-redminote12,xiaomi-redminote12-4go-128gb-green,SMARTPHONE XIAOMI Redmi Note 12 / 4 GO / 128 GO / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/63890-smartphone-xiaomi-redmi-note-12-4-go-128-go-vert.html,xiaomi,redmi note 12,4go,128gb,green,,tunisianet,INSTOCK,724.0,05/11/2023
