reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
nokia-g21,nokia-g21,Nokia G21,https://www.ooredoo.tn/Personal/fr/accueil/646-1269-portable-nokia-g21.html#/50-couleur-bleu,nokia,g21,,,,,ooredooshop,INSTOCK,549.000,2024-06-13
oppo-a16k,oppo-a16k-4go-64gb,OPPO A16K ( 4+64 ),https://www.ooredoo.tn/Personal/fr/accueil/882-1329-portable-oppo-a16k-332-tunisie.html#/73-couleur-noir,oppo,a16k,4go,64gb,,,ooredooshop,INSTOCK,599.000,2024-06-13
vivo-y17s,vivo-y17s-6go-128gb,PORTABLE VIVO Y17S (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1735-2478-portable-vivo-y17s-6128go.html#/14-couleur-bleu,vivo,y17s,6go,128gb,,,ooredooshop,INSTOCK,529.000,2024-06-13
itel-s23,itel-s23-8go-128gb,ITEL S23 (8+128G),https://www.ooredoo.tn/Personal/fr/accueil/1639-2388-portable-itel-s23-8128g.html#/52-couleur-blanc,itel,s23,8go,128gb,,,ooredooshop,INSTOCK,449.000,2024-06-13
itel-s23,itel-s23-4go-128gb,ITEL S23 (4+128G),https://www.ooredoo.tn/Personal/fr/accueil/1636-2391-portable-itel-s23-4128g.html#/73-couleur-noir,itel,s23,4go,128gb,,,ooredooshop,INSTOCK,389.000,2024-06-13
samsung-galaxya04e,samsung-galaxya04e-3go-64gb,SAMSUNG GALAXY A04E 3+64GO,https://www.ooredoo.tn/Personal/fr/accueil/1654-2406-portable-samsung-galaxy-a04e-364go.html#/14-couleur-bleu,samsung,galaxy a04e,3go,64gb,,,ooredooshop,INSTOCK,399.000,2024-06-13
oppo-a58,oppo-a58-8go-128gb,OPPO A58 (8+128G),https://www.ooredoo.tn/Personal/fr/accueil/1648-2400-portable-oppo-a58-8128g.html#/73-couleur-noir,oppo,a58,8go,128gb,,,ooredooshop,INSTOCK,699.000,2024-06-13
oppo-a38,oppo-a38-4go-128gb,OPPO A38 (4+128G),https://www.ooredoo.tn/Personal/fr/accueil/1525-2316-portable-oppo-a38-4128g.html#/49-couleur-blanc_dore,oppo,a38,4go,128gb,,,ooredooshop,INSTOCK,549.000,2024-06-13
xiaomi-redminote10pro,xiaomi-redminote10pro,Xiaomi Redmi Note 10 Pro...,https://www.ooredoo.tn/Personal/fr/accueil/333-2218-portable-xiaomi-redmi-note-10-pro-8-128go.html#/14-couleur-bleu,xiaomi,redmi note 10 pro,,,,,ooredooshop,INSTOCK,1069.000,2024-06-13
xiaomi-redmi9a,xiaomi-redmi9a-2go-32gb,Xiaomi Redmi 9A (2-32Go),https://www.ooredoo.tn/Personal/fr/accueil/336-809-portable-xiaomi-redmi-9a-232g.html#/50-couleur-bleu,xiaomi,redmi 9a,2go,32gb,,,ooredooshop,INSTOCK,349.000,2024-06-13
samsung-a04e,samsung-a04e-3go-32gb,SAMSUNG A04E 3+32GO,https://www.ooredoo.tn/Personal/fr/accueil/1085-2352-portable-samsung-galaxy-a04e-332go.html#/56-couleur-vert,samsung,a04e,3go,32gb,,,ooredooshop,INSTOCK,379.000,2024-06-13
samsung-a04,samsung-a04-4go-64gb,SAMSUNG A04 (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1286-2334-portable-samsung-galaxy-a04-464go.html#/52-couleur-blanc,samsung,a04,4go,64gb,,,ooredooshop,INSTOCK,449.000,2024-06-13
xiaomi-redmi10a,xiaomi-redmi10a-3go-64gb,XIAOMI REDMI 10A 3+64G,https://www.ooredoo.tn/Personal/fr/accueil/947-1433-portable-portable-xiaomi-redmi-10a-364g-tunisie.html#/5-couleur-gris,xiaomi,redmi 10a,3go,64gb,,,ooredooshop,INSTOCK,509.000,2024-06-13
oppo-reno8t5g,oppo-reno8t5g-8go-256gb,OPPO RENO 8T 5G (8+256G),https://www.ooredoo.tn/Personal/fr/accueil/1172-1859-portable-oppo-reno-8t-5g-8256g-tunisie.html#/73-couleur-noir,oppo,reno 8t 5g,8go,256gb,,,ooredooshop,INSTOCK,1799.000,2024-06-13
itel-p40,itel-p40-4go-64gb,ITEL P40 (4+64G),https://www.ooredoo.tn/Personal/fr/accueil/1633-2295-portable-itel-p40-464g.html#/14-couleur-bleu,itel,p40,4go,64gb,,,ooredooshop,INSTOCK,339.000,2024-06-13
oppo-a55,oppo-a55-4go-64gb,Oppo A55 (4/64Go),https://www.ooredoo.tn/Personal/fr/accueil/655-1064-portable-oppo-a55-464g.html#/73-couleur-noir,oppo,a55,4go,64gb,,,ooredooshop,INSTOCK,799.000,2024-06-13
oppo-a94,oppo-a94-8go-128gb,Oppo A94 (8/128),https://www.ooredoo.tn/Personal/fr/oppo/302-834-portable-oppo-a94-tunisie.html#/73-couleur-noir,oppo,a94,8go,128gb,,,ooredooshop,INSTOCK,1149.000,2024-06-13
oppo-a53,oppo-a53,Oppo A53,https://www.ooredoo.tn/Personal/fr/accueil/365-752-portable-oppo-a53.html#/73-couleur-noir,oppo,a53,,,,,ooredooshop,INSTOCK,699.000,2024-06-13
oppo-a16k,oppo-a16k-3go-32gb,OPPO A16K ( 3+32 ),https://www.ooredoo.tn/Personal/fr/accueil/731-1326-portable-oppo-a16k-332-.html#/73-couleur-noir,oppo,a16k,3go,32gb,,,ooredooshop,INSTOCK,499.000,2024-06-13
oppo-a16,oppo-a16-4go-64gb,OPPO A16 (4-64),https://www.ooredoo.tn/Personal/fr/accueil/1475-2132-portable-oppo-a16-4-64.html#/14-couleur-bleu,oppo,a16,4go,64gb,,,ooredooshop,INSTOCK,699.000,2024-06-13
vivo-y02,vivo-y02-3go-32gb,VIVO Y02 (3+32 GO),https://www.ooredoo.tn/Personal/fr/accueil/1502-2212-portable-vivo-y02-332-go.html#/57-couleur-gris,vivo,y02,3go,32gb,,go,ooredooshop,INSTOCK,359.000,2024-06-13
oppo-a78,oppo-a78-8go-256gb,OPPO A78 (8+256G),https://www.ooredoo.tn/Personal/fr/accueil/1499-2204-portable-oppo-a78-8256g.html#/73-couleur-noir,oppo,a78,8go,256gb,,,ooredooshop,INSTOCK,899.000,2024-06-13
vivo-y36,vivo-y36-8go-128gb,VIVO Y36 (8+128 GO),https://www.ooredoo.tn/Personal/fr/accueil/1406-2227-portable-vivo-y36-8128-go.html#/49-couleur-blanc_dore,vivo,y36,8go,128gb,,,ooredooshop,INSTOCK,719.000,2024-06-13
tecno-sparkgo2023,tecno-sparkgo2023-4go-64gb,TECNO SPARK GO 2023 (64+4GO),https://www.ooredoo.tn/Personal/fr/accueil/1490-2186-portable-tecno-spark-go-2023-644go.html#/14-couleur-bleu,tecno,spark go 2023,4go,64gb,,,ooredooshop,INSTOCK,359.000,2024-06-13
oppo-reno55g,oppo-reno55g,Oppo Reno 5 - 5G,https://www.ooredoo.tn/Personal/fr/accueil/327-762-portable-oppo-reno-5-5g-tunisie.html#/51-couleur-argent,oppo,reno 5 5g,,,,,ooredooshop,INSTOCK,1599.000,2024-06-13
oppo-reno7,oppo-reno7,Oppo Reno 7,https://www.ooredoo.tn/Personal/fr/accueil/797-1154-portable-oppo-reno-7-8256g-tunisie.html#/13-couleur-orange,oppo,reno 7,,,,,ooredooshop,INSTOCK,1499.000,2024-06-13
oppo-a55,oppo-a55-4go-128gb,Oppo A55 (4/128Go),https://www.ooredoo.tn/Personal/fr/accueil/615-1058-portable-oppo-a55-4128g-tunisie.html#/50-couleur-bleu,oppo,a55,4go,128gb,,,ooredooshop,INSTOCK,849.000,2024-06-13
oppo-a17k,oppo-a17k-3go-64gb,OPPO A17 K (3-64),https://www.ooredoo.tn/Personal/fr/accueil/1175-2120-portable-oppo-a17-k-3-64.html#/14-couleur-bleu,oppo,a17 k,3go,64gb,,,ooredooshop,INSTOCK,479.000,2024-06-13
oppo-a76,oppo-a76,Oppo A76,https://www.ooredoo.tn/Personal/fr/accueil/822-1314-portable-oppo-a76-6-128.html#/73-couleur-noir,oppo,a76,,,,,ooredooshop,INSTOCK,999.000,2024-06-13
infinix-hot30i,infinix-hot30i-4go-128gb,INFINIX HOT 30I (4+128 GO),https://www.ooredoo.tn/Personal/fr/accueil/1445-2259-portable-infinix-hot30i-4128-go.html#/14-couleur-bleu,infinix,hot 30i,4go,128gb,,,ooredooshop,INSTOCK,439.000,2024-06-13
infinix-note30vip12,infinix-note30vip12-256gb,INFINIX NOTE 30 VIP (12+256...,https://www.ooredoo.tn/Personal/fr/accueil/1409-2114-portable-infinix-note30-vip-12256-go-tunisie.html#/52-couleur-blanc,infinix,note 30 vip 12,,256gb,,,ooredooshop,INSTOCK,1299.000,2024-06-13
huawei-nova11i,huawei-nova11i,HUAWEI NOVA 11i,https://www.ooredoo.tn/Personal/fr/accueil/1397-2108-portable-huawei-nova-11i-tunisie.html#/73-couleur-noir,huawei,nova 11i,,,,,ooredooshop,INSTOCK,999.000,2024-06-13
