reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
evertek-m20smini,evertek-m20smini-1go-16gb-green,Smartphone EVERTEK M20S Mini 1Go 16Go - Vert,https://www.mytek.tn/smartphone-evertek-m20s-mini-1go-16go-vert.html,evertek,m20s mini,1go,16gb,green,,mytek,INSTOCK,209.000,2024-06-13
iku-a23,iku-a23-2go-32gb-grey,Smartphone IKU A23 2Go 32Go - Gris,https://www.mytek.tn/smartphone-iku-a23-2go-32go-gris.html,iku,a23,2go,32gb,grey,,mytek,INSTOCK,239.000,2024-06-13
iku-a23,iku-a23-2go-32gb-red,Smartphone IKU A23 2Go 32Go - Rouge,https://www.mytek.tn/smartphone-iku-a23-2go-32go-rouge.html,iku,a23,2go,32gb,red,,mytek,INSTOCK,239.000,2024-06-13
iku-a23,iku-a23-2go-32gb-green,Smartphone IKU A23 2Go 32Go - Vert,https://www.mytek.tn/smartphone-iku-a23-2go-32go-vert.html,iku,a23,2go,32gb,green,,mytek,INSTOCK,239.000,2024-06-13
nokia-c12,nokia-c12-2go-64gb-black,Smartphone NOKIA C12 2Go 64Go - Noir,https://www.mytek.tn/smartphone-nokia-c12-2go-64go-noir.html,nokia,c12,2go,64gb,black,,mytek,INSTOCK,249.000,2024-06-13
nokia-c12,nokia-c12-2go-64gb-green,Smartphone NOKIA C12 2Go 64Go - Vert,https://www.mytek.tn/smartphone-nokia-c12-2go-64go-vert.html,nokia,c12,2go,64gb,green,,mytek,INSTOCK,249.000,2024-06-13
iku-x5,iku-x5-3go-32gb-red,Smartphone IKU X5 3Go 32Go - Rouge,https://www.mytek.tn/smartphone-iku-x5-3go-32go-rouge.html,iku,x5,3go,32gb,red,,mytek,INSTOCK,259.000,2024-06-13
iku-a10s,iku-a10s-4go-32gb-brown,Smartphone IKU A10s 4Go 32Go - Marron ,https://www.mytek.tn/smartphone-iku-a10s-4go-32go-marron.html,iku,a10s,4go,32gb,brown,,mytek,INSTOCK,259.000,2024-06-13
el-d68,el-d68-3go-32gb-green,Smartphone EL D68 3Go 32Go - Vert,https://www.mytek.tn/smartphone-el-d68-3go-32go-vert.html,el,d68,3go,32gb,green,,mytek,INSTOCK,269.000,2024-06-13
xiaomi-redmia2,xiaomi-redmia2-2go-32gb-black,Smartphone XIAOMI Redmi A2+ 2Go 32Go - Noir,https://www.mytek.tn/smartphone-xiaomi-redmi-a2-plus-2go-32go-noir.html,xiaomi,redmi a2,2go,32gb,black,,mytek,INSTOCK,269.000,2024-06-13
