reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
realme-c51,realme-c51-4go-128gb-green,Smartphone Realme C51 / 4 Go / 128 Go / Vert + Un Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/69530-smartphone-realme-c51-4-go-128-go-vert.html,realme,c51,4go,128gb,green,un abonnement offert,tunisianet,INSTOCK,529.000,2024-06-13
xiaomi-redmi124g,xiaomi-redmi124g-4go-128gb-blue,Smartphone Xiaomi Redmi 12 / 4G / 4 Go / 128 Go / Bleu + Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/66387-smartphone-xiaomi-redmi-12-4g-4-go-128-go-bleu.html,xiaomi,redmi 12 4g,4go,128gb,blue,abonnement offert,tunisianet,INSTOCK,529.000,2024-06-13
samsung-galaxya05,samsung-galaxya05-6go-128gb-black,Smartphone Samsung Galaxy A05 / 6 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/72211-smartphone-samsung-galaxy-a05-6-go-128-go-noir.html,samsung,galaxy a05,6go,128gb,black,,tunisianet,INSTOCK,529.000,2024-06-13
oppo-a384g,oppo-a384g-4go-128gb-black,Smartphone Oppo A38 / 4G / 4 Go / 128 Go / Noir + Un Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/68741-smartphone-oppo-a38-4g-4-go-128-go-noir-un-abonnement-offert.html,oppo,a38 4g,4go,128gb,black,un abonnement offert,tunisianet,INSTOCK,529.000,2024-06-13
realme-c53,realme-c53-6go-128gb-gold,Smartphone Realme C53 / 6 Go / 128 Go / Gold + Un Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/69529-smartphone-realme-c53-6-go-128-go-gold.html,realme,c53,6go,128gb,gold,un abonnement offert,tunisianet,INSTOCK,529.000,2024-06-13
realme-c53,realme-c53-6go-128gb-black,Smartphone Realme C53 / 6 Go / 128 Go / Noir + Un Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/69528-smartphone-realme-c53-6-go-128-go-noir.html,realme,c53,6go,128gb,black,un abonnement offert,tunisianet,INSTOCK,529.000,2024-06-13
oppo-a384g,oppo-a384g-4go-128gb-gold,Smartphone Oppo A38 / 4G / 4 Go / 128 Go / Gold + Un Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/68740-smartphone-oppo-a38-4g-4-go-128-go-gold-un-abonnement-offert.html,oppo,a38 4g,4go,128gb,gold,un abonnement offert,tunisianet,INSTOCK,529.000,2024-06-13
xiaomi-redmi124g,xiaomi-redmi124g-4go-128gb-black,Smartphone Xiaomi Redmi 12 / 4G / 4 Go / 128 Go / Noir + Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/66384-smartphone-xiaomi-redmi-12c-4g-4-go-128-go-gris.html,xiaomi,redmi 12 4g,4go,128gb,black,abonnement offert,tunisianet,INSTOCK,529.000,2024-06-13
samsung-galaxya05s,samsung-galaxya05s-4go-128gb-silver,Smartphone Samsung Galaxy A05S / 4 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/72443-smartphone-samsung-galaxy-a05s-4-go-128-go-silver.html,samsung,galaxy a05s,4go,128gb,silver,,tunisianet,INSTOCK,529.000,2024-06-13
samsung-galaxya05s,samsung-galaxya05s-4go-128gb-violet,Smartphone Samsung Galaxy A05S / 4 Go / 128 Go / Violet,https://www.tunisianet.com.tn/smartphone-tunisie/72444-smartphone-samsung-galaxy-a05s-4-go-128-go-violet.html,samsung,galaxy a05s,4go,128gb,violet,,tunisianet,INSTOCK,549.000,2024-06-13
infinix-hot20,infinix-hot20-4go-128gb-white,SMARTPHONE INFINIX HOT20 / 4Go / 128 G / Blanc,https://www.tunisianet.com.tn/smartphone-tunisie/61073-smartphone-infinix-hot20-4go-128-g-blanc.html,infinix,hot20,4go,128gb,white,,tunisianet,INSTOCK,549.000,2024-06-13
samsung-galaxya05s,samsung-galaxya05s-6go-128gb-violet,Smartphone Samsung Galaxy A05S / 6 Go / 128 Go / Violet,https://www.tunisianet.com.tn/smartphone-tunisie/72447-smartphone-samsung-galaxy-a05s-6-go-128-go-violet.html,samsung,galaxy a05s,6go,128gb,violet,,tunisianet,INSTOCK,579.000,2024-06-13
