ooredooshop_scrapy_persist.reference_global,ooredooshop_scrapy_persist.reference_detail,ooredooshop_scrapy_persist.ad_title,ooredooshop_scrapy_persist.ad_url,ooredooshop_scrapy_persist.marque,ooredooshop_scrapy_persist.modele,ooredooshop_scrapy_persist.ram,ooredooshop_scrapy_persist.stockage,ooredooshop_scrapy_persist.couleur,ooredooshop_scrapy_persist.options,ooredooshop_scrapy_persist.shop,ooredooshop_scrapy_persist.ad_stocks,ooredooshop_scrapy_persist.ad_price,ooredooshop_scrapy_persist.date_scrapy
nokia-c10,nokia-c10-2go-32gb,Nokia C10 (2-32GO),https://www.ooredoo.tn/Personal/fr/accueil/805-1168-portable-nokia-c10-32go.html#/57-couleur-gris,nokia,c10,2go,32gb,,,ooredooshop,INSTOCK,300.0,28/01/2024
nokia-g21,nokia-g21,Nokia G21,https://www.ooredoo.tn/Personal/fr/accueil/646-1269-portable-nokia-g21.html#/50-couleur-bleu,nokia,g21,,,,,ooredooshop,INSTOCK,649.0,28/01/2024
oppo-a78,oppo-a78-8go-256gb,OPPO A78 (8+256G),https://www.ooredoo.tn/Personal/fr/accueil/1499-2204-portable-oppo-a78-8256g.html#/73-couleur-noir,oppo,a78,8go,256gb,,,ooredooshop,INSTOCK,999.0,28/01/2024
realme-c53,realme-c53-6go-128gb,PORTABLE REALME C53 (6+128 GO),https://www.ooredoo.tn/Personal/fr/accueil/1772-2475-portable-realme-c53-6128-go.html#/49-couleur-blanc_dore,realme,c53,6go,128gb,,,ooredooshop,INSTOCK,599.0,28/01/2024
samsung-a03,samsung-a03,SAMSUNG A03,https://www.ooredoo.tn/Personal/fr/accueil/661-1409-portable-samsung-galaxy-a03-tunisie.html#/50-couleur-bleu,samsung,a03,,,,,ooredooshop,INSTOCK,530.0,28/01/2024
samsung-a03,samsung-a03-4go-64gb,SAMSUNG A03 4/64,https://www.ooredoo.tn/Personal/fr/accueil/992-1511-portable-samsung-galaxy-a03-ooredoo-tunisie.html#/73-couleur-noir,samsung,a03,4go,64gb,,,ooredooshop,INSTOCK,489.0,28/01/2024
samsung-a04s,samsung-a04s-4go-64gb,SAMSUNG A04S (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1113-2560-portable-samsung-galaxy-a04s-464go.html#/52-couleur-blanc,samsung,a04s,4go,64gb,,,ooredooshop,INSTOCK,619.0,28/01/2024
samsung-a33,samsung-a33-8go-128gb,SAMSUNG A33 (8/128),https://www.ooredoo.tn/Personal/fr/accueil/813-1257-portable-samsung-galaxy-a33-tunisie.html#/73-couleur-noir,samsung,a33,8go,128gb,,,ooredooshop,INSTOCK,979.0,28/01/2024
samsung-a34,samsung-a34-6go-128gb,SAMSUNG A34 (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1325-2033-portable-samsung-galaxy-a34-6128go-tunisie.html#/73-couleur-noir,samsung,a34,6go,128gb,,,ooredooshop,INSTOCK,1499.0,28/01/2024
samsung-a53,samsung-a53-8go-128gb,Samsung A53 8/128,https://www.ooredoo.tn/Personal/fr/accueil/998-1514-portable-samsung-galaxy-a53-8256.html#/50-couleur-bleu,samsung,a53,8go,128gb,,,ooredooshop,INSTOCK,1590.0,28/01/2024
samsung-a53,samsung-a53-8go-256gb,SAMSUNG A53 8/256,https://www.ooredoo.tn/Personal/fr/accueil/749-1704-portable-samsung-galaxy-a53-8256.html#/13-couleur-orange,samsung,a53,8go,256gb,,,ooredooshop,INSTOCK,1755.0,28/01/2024
samsung-galaxys24,samsung-galaxys24,Samsung Galaxy S24,https://www.ooredoo.tn/Personal/fr/accueil/1783-galaxy-z-fold-5.html,samsung,galaxy s24,,,,,ooredooshop,INSTOCK,3999.0,28/01/2024
samsung-galaxys24plus,samsung-galaxys24plus,Samsung Galaxy S24 Plus,https://www.ooredoo.tn/Personal/fr/accueil/1786-galaxy-z-fold-5.html,samsung,galaxy s24 plus,,,,,ooredooshop,INSTOCK,4599.0,28/01/2024
samsung-galaxys24ultra,samsung-galaxys24ultra,Samsung Galaxy S24 Ultra,https://www.ooredoo.tn/Personal/fr/reservez-votre-nouveau-smartphone-/1789-galaxy-z-fold-5.html,samsung,galaxy s24 ultra,,,,,ooredooshop,INSTOCK,5999.0,28/01/2024
vivo-y17s,vivo-y17s-6go-128gb,PORTABLE VIVO Y17S (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1735-2478-portable-vivo-y17s-6128go.html#/14-couleur-bleu,vivo,y17s,6go,128gb,,,ooredooshop,INSTOCK,529.0,28/01/2024
xiaomi-redmi12c,xiaomi-redmi12c-3go-64gb,XIAOMI REDMI 12C 3+64GO,https://www.ooredoo.tn/Personal/fr/accueil/1247-1925-portable-xiaomi-redmi-12c-364go-tunisie.html#/57-couleur-gris,xiaomi,redmi 12c,3go,64gb,,,ooredooshop,INSTOCK,399.0,28/01/2024
