reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
samsung-galaxya535g,samsung-galaxya535g-256gb,Galaxy A53 (256 GO) 5G,https://www.samsungshop.tn/galaxy-a/1673-2929-galaxy-a53-256-go-5g-prix-tunisie.html#/14-couleur-bleu,samsung,galaxy a53 5g,,256gb,,,samsungshop,INSTOCK,2049.000,2024-06-13
samsung-galaxya335g,samsung-galaxya335g-6go-128gb,Galaxy A33 (6/128Go) 5G,https://www.samsungshop.tn/galaxy-a/1662-2900-galaxy-a33-5g-prix-tunisie.html#/25-couleur-orange,samsung,galaxy a33 5g,6go,128gb,,,samsungshop,INSTOCK,1599.000,2024-06-13
samsung-galaxya13,samsung-galaxya13-4go-64gb,Galaxy A13 (4/64GO),https://www.samsungshop.tn/galaxy-a/1661-2894-galaxy-a13-64go-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a13,4go,64gb,,,samsungshop,INSTOCK,788.000,2024-06-13
samsung-galaxya535g,samsung-galaxya535g-128gb,Galaxy A53 (128GO) 5G,https://www.samsungshop.tn/galaxy-a/1660-2893-galaxy-a53-5g-prix-tunisie.html#/14-couleur-bleu,samsung,galaxy a53 5g,,128gb,,,samsungshop,INSTOCK,1949.000,2024-06-13
samsung-galaxys225g,samsung-galaxys225g,Galaxy S22 5G,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1635-2921-galaxy-s22-5g-prix-tunisie.html#/15-couleur-vert_emeraude_green_emerald,samsung,galaxy s22 5g,,,,,samsungshop,INSTOCK,3579.000,2024-06-13
samsung-galaxya224g,samsung-galaxya224g-6go-128gb,Galaxy A22 4G (6Go / 128 Go),https://www.samsungshop.tn/galaxy-a/1632-2828-galaxy-a22-4g-6go-128-go-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a22 4g,6go,128gb,,,samsungshop,INSTOCK,989.000,2024-06-13
samsung-galaxya03core,samsung-galaxya03core,Galaxy A03 Core,https://www.samsungshop.tn/galaxy-a/1626-2816-galaxy-a03-core-prix-tunisie.html#/14-couleur-bleu,samsung,galaxy a03 core,,,,,samsungshop,INSTOCK,409.000,2024-06-13
samsung-galaxys21fe5g,samsung-galaxys21fe5g,Samsung Galaxy S21 FE 5G,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1621-2806-samsung-galaxy-s21-fe-5g-prix-tunisie.html#/41-couleur-violet,samsung,galaxy s21 fe 5g,,,,,samsungshop,INSTOCK,2859.000,2024-06-13
samsung-galaxya225g,samsung-galaxya225g-64gb,Galaxy A22 5G (64Go),https://www.samsungshop.tn/galaxy-a/1618-2797-galaxy-a22-5g-64go-prix-tunisie.html#/41-couleur-violet,samsung,galaxy a22 5g,,64gb,,,samsungshop,INSTOCK,749.000,2024-06-13
samsung-galaxya52s5g,samsung-galaxya52s5g,Galaxy A52s 5G,https://www.samsungshop.tn/galaxy-a/1587-2703-galaxy-a52s-5g-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a52s 5g,,,,,samsungshop,INSTOCK,1599.000,2024-06-13
samsung-galaxya03s,samsung-galaxya03s-64gb,Galaxy A03s (64Go),https://www.samsungshop.tn/galaxy-a/1586-2702-galaxy-a03s-64go-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a03s,,64gb,,,samsungshop,INSTOCK,599.000,2024-06-13
samsung-galaxya03s,samsung-galaxya03s-32gb,Galaxy A03s (32Go),https://www.samsungshop.tn/galaxy-a/1585-2701-galaxy-a03s-32go-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a03s,,32gb,,,samsungshop,INSTOCK,539.000,2024-06-13
samsung-galaxyzflip5g,samsung-galaxyzflip5g-3go,Galaxy Z Flip 3 5G,https://www.samsungshop.tn/galaxy-z-prix-tunisie/1547-2608-galaxy-z-flip-3-5g-prix-tunisie.html#/34-couleur-gold,samsung,galaxy z flip 5g,3go,,,,samsungshop,INSTOCK,3199.000,2024-06-13
samsung-galaxyzfold35g,samsung-galaxyzfold35g,Galaxy Z Fold3 5G,https://www.samsungshop.tn/galaxy-z-prix-tunisie/1546-2603-galaxy-z-fold-3-5g-tunisie-prix.html#/11-couleur-noir,samsung,galaxy z fold3 5g,,,,,samsungshop,INSTOCK,6299.000,2024-06-13
samsung-galaxya224g,samsung-galaxya224g-128gb,Galaxy A22 4G (128 Go),https://www.samsungshop.tn/galaxy-a/1538-2590-galaxy-a22-4g-128-go.html#/11-couleur-noir,samsung,galaxy a22 4g,,128gb,,,samsungshop,INSTOCK,899.000,2024-06-13
samsung-galaxya22,samsung-galaxya22-64gb,Galaxy A22 (64Go),https://www.samsungshop.tn/galaxy-a/1531-2578-galaxy-a22-tunisie-prix.html#/11-couleur-noir,samsung,galaxy a22,,64gb,,,samsungshop,INSTOCK,849.000,2024-06-13
