mytek_scrapy_persist.reference_global,mytek_scrapy_persist.reference_detail,mytek_scrapy_persist.ad_title,mytek_scrapy_persist.ad_url,mytek_scrapy_persist.marque,mytek_scrapy_persist.modele,mytek_scrapy_persist.ram,mytek_scrapy_persist.stockage,mytek_scrapy_persist.couleur,mytek_scrapy_persist.options,mytek_scrapy_persist.shop,mytek_scrapy_persist.ad_stocks,mytek_scrapy_persist.ad_price,mytek_scrapy_persist.date_scrapy
vivo-v275g,vivo-v275g-8go-256gb-magicblue,Smartphone VIVO V27 5G 8Go 256Go Bleu Magique + Abonnement Global 12 Mois,https://www.mytek.tn/smartphone-vivo-v27-5g-8go-256go-bleu-magique.html,vivo,v27 5g,8go,256gb,magic blue,abonnement global 12 mois,mytek,INSTOCK,1489.0,2023-11-05
samsung-galaxya345g,samsung-galaxya345g-8go-128gb-silver,Smartphone SAMSUNG GALAXY A34 5G 8Go 128Go - Silver,https://www.mytek.tn/smartphone-samsung-galaxy-a34-5g-8go-128go-silver.html,samsung,galaxy a34 5g,8go,128gb,silver,,mytek,INSTOCK,1569.0,2023-11-05
samsung-galaxya345g,samsung-galaxya345g-8go-128gb-limegreen,Smartphone SAMSUNG GALAXY A34 5G 8Go 128Go - Vert Lime,https://www.mytek.tn/smartphone-samsung-galaxy-a34-5g-8go-128go-vert-lime.html,samsung,galaxy a34 5g,8go,128gb,lime green,,mytek,INSTOCK,1569.0,2023-11-05
samsung-galaxya345g,samsung-galaxya345g-8go-128gb-graphite,Smartphone SAMSUNG GALAXY A34 5G 8Go 128Go - Graphite,https://www.mytek.tn/smartphone-samsung-galaxy-a34-5g-8go-128go-graphite.html,samsung,galaxy a34 5g,8go,128gb,graphite,,mytek,INSTOCK,1569.0,2023-11-05
xiaomi-redminote12proplus5g,xiaomi-redminote12proplus5g-8go-256gb-black,Smartphone XIAOMI Redmi Note 12 Pro Plus 5G 8Go 256Go - Noir,https://www.mytek.tn/smartphone-xiaomi-redmi-note-12-pro-5g-8go-256go-noir.html,xiaomi,redmi note 12 pro plus 5g,8go,256gb,black,,mytek,INSTOCK,1674.0,2023-11-05
samsung-galaxya545g,samsung-galaxya545g-6go-128gb-white,Smartphone SAMSUNG GALAXY A54 5G 6Go 128Go - Blanc ,https://www.mytek.tn/smartphone-samsung-galaxy-a54-5g-6go-128go-blanc.html,samsung,galaxy a54 5g,6go,128gb,white,,mytek,INSTOCK,1869.0,2023-11-05
samsung-galaxya545g,samsung-galaxya545g-6go-128gb-lightgreen,Smartphone SAMSUNG GALAXY A54 5G 6Go 128Go - Vert Clair ,https://www.mytek.tn/smartphone-samsung-galaxy-a54-5g-6go-128go-vert-clair.html,samsung,galaxy a54 5g,6go,128gb,light green,,mytek,INSTOCK,1869.0,2023-11-05
samsung-galaxya545g,samsung-galaxya545g-6go-128gb-black,Smartphone SAMSUNG GALAXY A54 5G 6Go 128Go - Noir ,https://www.mytek.tn/smartphone-samsung-galaxy-a54-5g-6go-128go-noir.html,samsung,galaxy a54 5g,6go,128gb,black,,mytek,INSTOCK,1869.0,2023-11-05
samsung-galaxya545g,samsung-galaxya545g-8go-128gb-white,Smartphone SAMSUNG GALAXY A54 5G 8Go 128Go - Blanc,https://www.mytek.tn/smartphone-samsung-galaxy-a54-5g-8go-128go-blanc.html,samsung,galaxy a54 5g,8go,128gb,white,,mytek,INSTOCK,1999.0,2023-11-05
samsung-galaxya545g,samsung-galaxya545g-8go-128gb-lightgreen,Smartphone SAMSUNG GALAXY A54 5G 8Go 128Go - Vert Clair,https://www.mytek.tn/smartphone-samsung-galaxy-a54-5g-8go-128go-vert-clair.html,samsung,galaxy a54 5g,8go,128gb,light green,,mytek,INSTOCK,1999.0,2023-11-05
