spacenet_scrapy_persist.reference_global,spacenet_scrapy_persist.reference_detail,spacenet_scrapy_persist.ad_title,spacenet_scrapy_persist.ad_url,spacenet_scrapy_persist.marque,spacenet_scrapy_persist.modele,spacenet_scrapy_persist.ram,spacenet_scrapy_persist.stockage,spacenet_scrapy_persist.couleur,spacenet_scrapy_persist.options,spacenet_scrapy_persist.shop,spacenet_scrapy_persist.ad_stocks,spacenet_scrapy_persist.ad_price,spacenet_scrapy_persist.date_scrapy
samsung-galaxys24ultra,samsung-galaxys24ultra-12go-256gb-gold,Smartphone Samsung Galaxy S24 Ultra 12Go 256Go Gold,https://spacenet.tn/smartphone-tunisie/69099-smartphone-samsung-galaxy-s24-ultra-12go-256go-gold.html,samsung,galaxy s24 ultra,12go,256gb,gold,,spacenet,ONDEMAND,700.0,28/01/2024
apple-iphone15pro,apple-iphone15pro-256gb-naturaltitanium,iPhone 15 Pro 256Go Titane Naturel,https://spacenet.tn/iphone-tunisie/68368-iphone-15-pro-256go-titane-naturel.html,apple,iphone 15 pro,,256gb,natural titanium,,spacenet,INSTOCK,5999.0,28/01/2024
apple-iphone15promax,apple-iphone15promax-256gb-naturaltitanium,iPhone 15 Pro Max 256Go Titane Naturel,https://spacenet.tn/iphone-tunisie/68370-iphone-15-pro-max-256go-titane-naturel.html,apple,iphone 15 pro max,,256gb,natural titanium,,spacenet,ONDEMAND,5999.0,28/01/2024
apple-iphone15promax,apple-iphone15promax-256gb-bluetitanium,iPhone 15 Pro Max 256Go Titane Bleu,https://spacenet.tn/iphone-tunisie/68169-iphone-15-pro-max-256go-titane-bleu.html,apple,iphone 15 pro max,,256gb,blue titanium,,spacenet,ONDEMAND,5999.0,28/01/2024
samsung-galaxyzfold5,samsung-galaxyzfold5-12go-256gb-black,Smartphone Samsung Galaxy Z Fold 5 12Go 256Go - Noir,https://spacenet.tn/smartphone-tunisie/59064-smartphone-samsung-galaxy-z-fold-5-12go-256go-noir.html,samsung,galaxy z fold 5,12go,256gb,black,,spacenet,ONDEMAND,5999.0,28/01/2024
samsung-galaxyzfold5,samsung-galaxyzfold5-12go-256gb-cream,Smartphone Samsung Galaxy Z Fold5 12Go 256Go - Crème,https://spacenet.tn/smartphone-tunisie/59056-smartphone-samsung-galaxy-z-fold5-12go-256go-creme.html,samsung,galaxy z fold5,12go,256gb,cream,,spacenet,ONDEMAND,5999.0,28/01/2024
apple-iphone15promax,apple-iphone15promax-512gb-titanium,iPhone 15 Pro Max 512Go Titane Noir,https://spacenet.tn/iphone-tunisie/68382-iphone-15-pro-max-512go-titane-noir.html,apple,iphone 15 pro max,,512gb,titanium,,spacenet,INSTOCK,6299.0,28/01/2024
apple-iphone15promax,apple-iphone15promax-512gb-bluetitanium,iPhone 15 Pro Max 512Go Titane Bleu,https://spacenet.tn/iphone-tunisie/68369-iphone-15-pro-max-512go-titane-bleu.html,apple,iphone 15 pro max,,512gb,blue titanium,,spacenet,OUTOFSTOCK,7099.0,28/01/2024
iku-a10s,iku-a10s-4go-32gb-blue,Smartphone Iku A10S 4Go 32Go Bleu,https://spacenet.tn/smartphone-tunisie/65903-smartphone-iku-a10s-4go-32go-bleu.html,iku,a10s,4go,32gb,blue,,spacenet,ARRIVING,329.0,13/01/2024
iku-a7,iku-a7-2go-16gb-gold,Smartphone IKU A7 2Go 16Go Gold,https://spacenet.tn/smartphone-tunisie/49361-smartphone-iku-a7-2go-16go-gold.html,iku,a7,2go,16gb,gold,,spacenet,ARRIVING,269.0,13/01/2024
